id,title,author,book_page_url,image_url
107,A Memoir of the Warsaw Uprising,,https://www.nyrb.com/collections/classics/products/a-memoir-of-the-warsaw-uprising,https://cdn.shopify.com/s/files/1/0726/9203/products/A_Memoir_of_the_Warsaw_Uprising_large.jpg?v=1528394278
108,The Seven Madmen,Roberto Arlt,https://www.nyrb.com/collections/classics/products/the-seven-madmen,https://cdn.shopify.com/s/files/1/0726/9203/products/arlt.hi-res_large.jpeg?v=1528394278
109,The Rim of Morning,William Sloane,https://www.nyrb.com/collections/classics/products/the-rim-of-morning,https://cdn.shopify.com/s/files/1/0726/9203/products/productimage-picture-the-rim-of-morning-531_large.jpg?v=1528394279
110,The Cretan Runner,George Psychoundakis,https://www.nyrb.com/collections/classics/products/george-psychoundakis,https://cdn.shopify.com/s/files/1/0726/9203/products/The_Cretan_Runner_large.jpg?v=1528394279
111,The Book of Blam,Aleksandar Tišma,https://www.nyrb.com/collections/classics/products/the-book-of-blam,https://cdn.shopify.com/s/files/1/0726/9203/products/tisma.blam.final2_large.jpg?v=1528394279
112,Stoner: 50th Anniversary Edition,John Williams,https://www.nyrb.com/collections/classics/products/stoner-50th-anniversary-edition,https://cdn.shopify.com/s/files/1/0726/9203/products/Stoner50thAnniversary_large.jpg?v=1528394280
113,Our Spoons Came from Woolworths,Barbara Comyns,https://www.nyrb.com/collections/classics/products/our-spoons-came-from-woolworths,https://cdn.shopify.com/s/files/1/0726/9203/products/our_spoons_cover_image_large.jpg?v=1528394280
114,My Marriage,Jakob Wassermann,https://www.nyrb.com/collections/classics/products/my-marriage,https://cdn.shopify.com/s/files/1/0726/9203/products/my_marriage_cover_image_large.jpg?v=1528394280
115,Existential Monday,Benjamin Fondane,https://www.nyrb.com/collections/classics/products/existential-monday,https://cdn.shopify.com/s/files/1/0726/9203/products/Existential_Monday_large.jpg?v=1528394280
116,Dance to the Piper,Agnes de Mille,https://www.nyrb.com/collections/classics/products/dance-to-the-piper,https://cdn.shopify.com/s/files/1/0726/9203/products/dance_to_the_piper_cover_image_large.jpg?v=1528394281
117,Black Wings Has My Angel,Elliott Chaze,https://www.nyrb.com/collections/classics/products/black-wings-has-my-angel,https://cdn.shopify.com/s/files/1/0726/9203/products/black_wings_cover_image_large.jpg?v=1528394281
118,Fat City,Leonard Gardner,https://www.nyrb.com/collections/classics/products/fat-city,https://cdn.shopify.com/s/files/1/0726/9203/products/Fat_City_large.jpg?v=1528394282
119,Eve's Hollywood,Eve Babitz,https://www.nyrb.com/collections/classics/products/eve-s-hollywood,https://cdn.shopify.com/s/files/1/0726/9203/products/eves_hollywood_cover_image_large.jpg?v=1528394282
120,Anti-Education,Friedrich Nietzsche,https://www.nyrb.com/collections/classics/products/anti-education,https://cdn.shopify.com/s/files/1/0726/9203/products/anti-education_cover_image_large.jpg?v=1528394282
121,Zama,Antonio di Benedetto,https://www.nyrb.com/collections/classics/products/zama,https://cdn.shopify.com/s/files/1/0726/9203/products/Zama_large.jpg?v=1528394283
